Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C180,0.1uF,C_0402_1005Metric,333.13,-129.95,0.0,top
C181,0.1uF,C_0402_1005Metric,341.13,-129.95,0.0,top
C182,0.1uF,C_0402_1005Metric,349.13,-129.95,0.0,top
C183,0.1uF,C_0402_1005Metric,357.13,-129.95,0.0,top
C184,0.1uF,C_0402_1005Metric,365.13,-129.95,0.0,top
C185,0.1uF,C_0402_1005Metric,373.13,-129.95,0.0,top
C186,0.1uF,C_0402_1005Metric,381.13,-129.95,0.0,top
C187,0.1uF,C_0402_1005Metric,387.15,-129.575,0.0,top
C188,0.1uF,C_0402_1005Metric,149.13,-137.95,0.0,top
C189,0.1uF,C_0402_1005Metric,157.13,-137.95,0.0,top
C19,0.1uF,C_0402_1005Metric,285.13,-89.95,0.0,top
C190,0.1uF,C_0402_1005Metric,165.13,-137.95,0.0,top
C191,0.1uF,C_0402_1005Metric,173.13,-137.95,0.0,top
C192,0.1uF,C_0402_1005Metric,181.13,-137.95,0.0,top
C193,0.1uF,C_0402_1005Metric,189.13,-137.95,0.0,top
C194,0.1uF,C_0402_1005Metric,197.13,-137.95,0.0,top
C195,0.1uF,C_0402_1005Metric,205.13,-137.95,0.0,top
C196,0.1uF,C_0402_1005Metric,213.13,-137.95,0.0,top
C197,0.1uF,C_0402_1005Metric,221.13,-137.95,0.0,top
C198,0.1uF,C_0402_1005Metric,229.13,-137.95,0.0,top
C199,0.1uF,C_0402_1005Metric,237.13,-137.95,0.0,top
C2,0.1uF,C_0402_1005Metric,149.13,-89.95,0.0,top
C20,0.1uF,C_0402_1005Metric,293.13,-89.95,0.0,top
C200,0.1uF,C_0402_1005Metric,245.13,-137.95,0.0,top
C201,0.1uF,C_0402_1005Metric,253.13,-137.95,0.0,top
C202,0.1uF,C_0402_1005Metric,261.13,-137.95,0.0,top
C203,0.1uF,C_0402_1005Metric,269.13,-137.95,0.0,top
C204,0.1uF,C_0402_1005Metric,277.13,-137.95,0.0,top
C205,0.1uF,C_0402_1005Metric,285.13,-137.95,0.0,top
C206,0.1uF,C_0402_1005Metric,293.13,-137.95,0.0,top
C207,0.1uF,C_0402_1005Metric,301.13,-137.95,0.0,top
